UST-TSILMA,Russian Federation,Northern,2020-08-21,65.44,52.15,10.49,92,66,1.82
KORLA,China,Northern,2020-08-21,41.76,86.15,28.89,52,6,0.45
LASA,Italy,Northern,2020-08-21,46.62,10.7,22.0,64,40,3.6
IQUIQUE,Chile,Southern,2020-08-21,-20.22,-70.14,16.0,63,5,4.6
BERBERA,Somalia,Northern,2020-08-21,10.44,45.01,33.39,50,58,1.4
JIAN,China,Northern,2020-08-21,27.12,114.98,27.44,80,73,1.28
CATAMARCA,Argentina,Southern,2020-08-21,-28.47,-65.79,18.89,27,0,0.89
PALMERSTON,Australia,Southern,2020-08-21,-12.49,130.98,25.0,83,16,1.5
YONGAN,China,Northern,2020-08-21,39.7,113.69,13.52,81,15,2.43
MANICORE,Brazil,Southern,2020-08-21,-5.81,-61.3,37.55,27,9,2.47
LE PORT,Réunion,Southern,2020-08-21,-20.94,55.29,21.0,64,75,4.6
LIUZHOU,China,Northern,2020-08-21,24.31,109.39,26.79,78,100,0.35
HURGHADA,Egypt,Northern,2020-08-21,27.26,33.81,34.0,26,0,7.7
PROGRESO,Mexico,Northern,2020-08-21,21.28,-89.67,32.78,74,75,3.1
SARKAND,Kazakhstan,Northern,2020-08-21,45.41,79.92,17.52,41,10,3.87
JACAREACANGA,Brazil,Southern,2020-08-21,-6.22,-57.75,38.42,21,50,2.16
PETERHEAD,United Kingdom,Northern,2020-08-21,57.51,-1.8,18.33,77,75,5.1
BAC GIANG,Viet Nam,Northern,2020-08-21,21.27,106.2,27.0,83,75,1.0
CANTO DO BURITI,Brazil,Southern,2020-08-21,-8.11,-42.94,38.02,19,23,2.4
ZHANGYE,China,Northern,2020-08-21,38.93,100.45,21.98,48,17,1.1
KJOPSVIK,Norway,Northern,2020-08-21,68.1,16.37,15.0,72,96,3.6
CHIMORE,"Bolivia, Plurinational State of",Southern,2020-08-21,-16.98,-65.13,16.03,52,85,1.91
PAVLODAR,Kazakhstan,Northern,2020-08-21,52.3,76.95,13.0,82,75,2.95
KASTAMONU,Turkey,Northern,2020-08-21,41.5,33.67,15.31,80,37,2.75
YERTARSKIY,Russian Federation,Northern,2020-08-21,56.79,64.3,12.18,96,60,2.04
QUJING,China,Northern,2020-08-21,25.48,103.78,15.64,94,53,1.44
SOVETSKAYA GAVAN,Russian Federation,Northern,2020-08-21,48.97,140.29,17.66,60,0,5.5
LIXOURION,Greece,Northern,2020-08-21,38.2,20.43,29.0,79,20,6.2
LA PRIMAVERA,Colombia,Northern,2020-08-21,5.49,-70.41,24.91,90,87,4.3
BUMBUNA,Sierra Leone,Northern,2020-08-21,9.05,-11.73,25.21,91,35,1.66
ORANJEMUND,Namibia,Southern,2020-08-21,-28.55,16.43,17.17,41,0,6.94
NISHIHARA,Japan,Northern,2020-08-21,26.18,127.76,28.0,88,20,1.5
SAO JOAO DA BARRA,Brazil,Southern,2020-08-21,-21.64,-41.05,22.0,64,90,7.2
LOKOSOVO,Russian Federation,Northern,2020-08-21,61.13,74.82,12.43,97,100,1.75
NEMURO,Japan,Northern,2020-08-21,43.32,145.57,14.84,86,91,3.23
MRAKOVO,Russian Federation,Northern,2020-08-21,52.72,56.62,10.04,94,19,1.92
HELENA,United States,Northern,2020-08-21,46.59,-112.04,22.22,42,1,0.33
CABO SAN LUCAS,Mexico,Northern,2020-08-21,22.89,-109.91,28.33,69,75,3.1
SWANZEY,United States,Northern,2020-08-21,42.87,-72.28,27.78,47,1,3.6
LAGOA,Portugal,Northern,2020-08-21,39.05,-27.98,20.55,62,85,2.09
